gene,time,kappa,nu,U_tilde,e_tilde,I_tilde,pval,padj
MFGE8_PDGFRB,0.024602890014648438,26.971648582461494,16.788721965656183,2016.1940054449337,452.8195090063307,24426.577336403017,2.731747050788158e-09,4.961334717240258e-09
CALM1_KCNN4,0.0259246826171875,11.380492323245758,16.788721965639112,1374.3281964926098,191.06392144706334,4348.802982555069,0.0,0.0
PSEN1_NOTCH3,0.02745366096496582,58.275655640047475,16.78872196564947,5629.767043421795,978.3737799066894,114030.74697018765,3.1086244689504383e-13,7.755861048795538e-13
THBS2_NOTCH3,0.02547144889831543,41.25137041239817,16.788721965642054,4515.839325963903,692.5577885554658,57137.91573538569,1.2212453270876722e-15,4.0219679438754004e-15
SCGB3A1_NOTCH3,0.12033796310424805,38.84757021383899,16.788721965634885,5240.753050469129,652.2010553606221,50672.85258332332,0.0,0.0
JAG2_NOTCH3,0.027976036071777344,60.814955657383365,16.78872196563911,5701.960043460664,1021.0053818844804,124184.79405050888,1.0396128402589966e-12,2.4765042405404064e-12
APP_APLP2,0.02489495277404785,28.375890791555545,16.7887219656828,4982.738528670129,476.3949410280049,27036.26164052042,0.0,0.0
HLA-A_APLP2,0.023429393768310547,24.039470123487668,16.788721965649863,3216.6183220144308,403.591980104781,19404.274695616223,0.0,0.0
GPC3_CD81,0.02406477928161621,158.27388051993276,16.78872196567863,49189.61047320086,2657.21617447819,841135.8306299878,0.0,0.0
CD99_CD81,0.0300900936126709,47.52169775949332,16.788721965629133,7427.383457560893,797.8285710187942,75828.33643168717,0.0,0.0
AFDN_NECTIN1,0.026429414749145508,8.783200871897668,16.788721965629303,361.37782822603197,147.4587174065628,2590.3190705884685,0.0007994734293659267,0.0009249177379549597
BMP2_GPC1,0.025193452835083008,59.84020783074672,16.78872196566414,6918.099600905785,1004.6406116379648,120235.80599124862,1.1102230246251565e-16,4.0929117474987117e-16
APP_GPC1,0.02662372589111328,34.07984422932304,16.78872196569778,5393.245678218664,572.1570294003943,38998.04487335528,0.0,0.0
COL18A1_GPC1,0.029575586318969727,44.86389499512656,16.788721965643298,4590.741831009058,753.2074593689956,67583.64073335334,2.6978419498391304e-14,7.487269231576013e-14
VEGFA_GPC1,0.026393890380859375,40.284934333004976,16.78872196563911,5133.396917184865,676.3325619208497,54492.025688508904,0.0,0.0
NLGN2_NRXN2,0.021373510360717773,10.515098395806579,16.788721965634796,755.0187056278965,176.53506340848912,3712.5671241004334,8.946449692182057e-09,1.578409338549263e-08
AFDN_NRXN2,0.022749900817871094,5.311957161245045,16.78872196562814,358.3035477533614,89.1809718734704,947.4510043801481,5.0403506146601273e-08,8.244811932589744e-08
