,ligand,receptor,perm_pval,fdr,selected
2405,HSP90B1,ERBB2,0.0,0.0,True
2409,HSP90AA1,ERBB2,0.0,0.0,True
2486,PSEN1,NOTCH1,1.0,1.0,False
2492,MFAP2,NOTCH1,0.0,0.0,True
2494,JAG2,NOTCH1,1.0,1.0,False
2497,PLAU,ST14,0.0,0.0,True
2498,SPINT1,ST14,0.0,0.0,True
2500,GNAI2,ADRA2A,1.0,1.0,False
2501,AGT,ADRA2A,0.0,0.0,True
2513,SAA1,ADRA2A,1.0,1.0,False
2517,CXCL2,ADRA2A,0.0,0.0,True
2525,APP,ADRA2A,0.0,0.0,True
2526,CXCL1,ADRA2A,0.0,0.0,True
2528,PPY,ADRA2A,0.857,1.0,False
2530,CXCL16,ADRA2A,1.0,1.0,False
2538,ANXA1,ADRA2A,1.0,1.0,False
2556,COL6A1,ITGA1,0.0,0.0,True
2558,COL5A1,ITGA1,0.0,0.0,True
2559,COL6A2,ITGA1,0.0,0.0,True
2563,COL6A3,ITGA1,0.0,0.0,True
2564,COL5A2,ITGA1,0.0,0.0,True
2565,COL1A2,ITGA1,0.0,0.0,True
2567,COL4A1,ITGA1,0.0,0.0,True
2569,FBN1,ITGB6,1.0,1.0,False
2570,FN1,ITGB6,1.0,1.0,False
2576,CSF1,CSF1R,0.0,0.0,True
2598,GPI,AMFR,1.0,1.0,False
2601,GNAS,PTGIR,0.966,1.0,False
2624,FGF19,FGFR4,1.0,1.0,False
2639,PLAU,ITGA5,0.0,0.0,True
2640,SPP1,ITGA5,1.0,1.0,False
2642,FGG,ITGA5,1.0,1.0,False
2643,FGA,ITGA5,1.0,1.0,False
2646,FGB,ITGA5,1.0,1.0,False
2647,FBN1,ITGA5,0.0,0.0,True
2649,COL18A1,ITGA5,0.0,0.0,True
2650,ADAM15,ITGA5,1.0,1.0,False
2653,FN1,ITGA5,0.0,0.0,True
2659,WNT7B,LRP5,0.0,0.0,True
2661,DKK1,LRP5,0.0,0.0,True
2662,PSEN1,NCSTN,0.0,0.0,True
2681,FN1,IL17RC,0.0,0.0,True
2693,PLAU,ITGB5,0.0,0.0,True
2696,SPP1,ITGB5,1.0,1.0,False
2697,TLN1,ITGB5,0.03600000000000003,0.06790909090909096,False
2698,COL4A2,ITGB5,0.0,0.0,True
2700,ADAM9,ITGB5,0.0,0.0,True
2701,COL18A1,ITGB5,0.0,0.0,True
2703,LTBP3,ITGB5,0.992,1.0,False
2704,LTBP1,ITGB5,0.0,0.0,True
2705,MST1,MST1R,1.0,1.0,False
2711,LAMC3,ITGA2,1.0,1.0,False
2712,COL6A1,ITGA2,0.0,0.0,True
2715,COL6A2,ITGA2,0.0,0.0,True
2719,MMP1,ITGA2,0.0,0.0,True
2720,HSPG2,ITGA2,0.0,0.0,True
