"","gene_name","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj"
"AFDN_NECTIN2","AFDN_NECTIN2",5.1259856144482,0.106029084118714,24.4054846614257,-1517.37485071021,0.376000000000001,4.94152845335528,5.15935436606871,0.458170782836894,0.979734559203789,-1705.87999592728,377.010290434144,480,0,0
"LRPAP1_SORT1","LRPAP1_SORT1",5.32285282276388,5.32285282276388e-08,11.8176453190856,-1294.03137975936,0.216999999999999,1.35125872431965,4.37921566942205,1.70739387083387,0.99999999,-1643.41816579721,698.773572075682,226,0,0
"PSAP_SORT1","PSAP_SORT1",4.48261259064979,4.48261259064979e-08,12.9132515278411,-1258.04048800048,0.234999999999999,1.22305763671143,3.87919116783862,1.7310861417152,0.99999999,-1597.22459520321,678.368214405471,263,0,0
"PSEN1_NOTCH2","PSEN1_NOTCH2",5.85075126966552,5.85075126966552e-08,11.7737587334273,-1328.81162396005,0.210000000000001,1.65558607146659,4.98658763013101,1.46101291082395,0.99999999,-1692.90328275321,728.183317586322,186,0,0
"ADAM10_NOTCH2","ADAM10_NOTCH2",5.51877237407664,5.51877237407664e-08,14.0803061181433,-1365.50959408738,0.216999999999999,1.47939737598753,4.82410296633752,1.58794843924383,0.99999999,-1680.28188417633,629.544580177885,333,0,0
"APP_NOTCH2","APP_NOTCH2",6.08020535503864,6.08020535503864e-08,13.6671266153737,-1392.76187873966,0.241999999999997,1.54681614832008,5.38450667619139,1.59411785605338,0.99999999,-1722.15412398348,658.784490487646,291,0,0
"JAG2_NOTCH2","JAG2_NOTCH2",5.49334769505644,5.49334769505644e-08,12.9091190044429,-1335.40445706977,0.280999999999999,1.54223597790427,4.74180311430058,1.51973446878274,0.99999999,-1673.72588894629,676.642863753038,268,0,0
"PDGFB_PDGFRA","PDGFB_PDGFRA",4.99603682725651,4.99603682725651e-08,12.448293951489,-1287.2298752916,0.222000000000001,1.43916866265681,4.75345270716627,1.5531060864896,0.99999999,-1674.66077626103,774.861801938864,123,0,0
"CD14_RIPK1","CD14_RIPK1",3.67560960546566,3.67560960546566e-08,14.8091919018133,-1226.87273122703,0.164000000000001,1.10022320961409,3.82134908791965,1.74254453585551,0.99999999,-1591.50077682134,729.256091188632,183,0,0
"CALR_HLA-F","CALR_HLA-F",5.34174294926722,0.477755693473846,16.6107572825343,-1494.61817189101,0.311,2.77429717394321,5.85030912702481,0.833083462202533,0.917904320835306,-1753.76523922089,518.294134659762,425,0,0
"B2M_HLA-F","B2M_HLA-F",6.37360661550988,6.37360661550988e-08,18.8839181241136,-1511.58351119207,0.331000000000003,2.85973519866837,6.20657396681569,0.882809110941812,0.99999999,-1776.28788104344,529.408739702731,417,0,0
"PLAU_ITGAV","PLAU_ITGAV",5.41745351680797,5.41745351680797e-08,16.2326519204295,-1403.6177006863,0.298000000000002,2.04322293062879,5.58197269401372,1.13915243516785,0.99999999,-1735.87642863159,664.517455890586,287,0,0
"SPP1_ITGAV","SPP1_ITGAV",5.76316859127565,5.76316859127565e-08,18.0717757651679,-1460.08111501155,0.210999999999999,1.88338360599753,5.57935697077953,1.27465271800112,0.99999999,-1735.69784944786,551.233468872628,403,0,0
"NID1_ITGAV","NID1_ITGAV",5.19076292551185,5.19076292551185e-08,15.1898023921907,-1366.45565652847,0.179000000000002,2.04106511097191,5.43838457218643,1.11624297291841,0.99999999,-1725.94749998173,718.983686906508,201,0,0
"PDGFB_ITGAV","PDGFB_ITGAV",5.69787672962982,5.69787672962982e-08,15.7937922135794,-1414.27512643381,0.235999999999997,2.08852786335816,5.67933397430987,1.14292110135418,0.99999999,-1742.46457566769,656.378898467758,300,0,0
"CALR_ITGAV","CALR_ITGAV",4.90714826166254,5.00740377811424e-08,15.4800358014312,-1351.0372146898,0.346000000000004,1.94384445893684,4.96082089688508,1.13960167503228,0.999999989795695,-1690.92947273092,679.784516082246,261,0,0
"FGG_ITGAV","FGG_ITGAV",5.14867160744393,1.99000779058838e-07,18.0351092934914,-1416.51182555786,0.305,1.82898190379959,5.06938519615081,1.24061831346869,0.999999961349104,-1699.17748139995,565.331311684186,394,0,0
"FGA_ITGAV","FGA_ITGAV",4.58253537438765,0.200840622970443,19.9340741799942,-1441.98909737765,0.322000000000003,1.71285216119513,4.88367778508657,1.24977845360534,0.958012787813174,-1684.95819310215,485.938191448989,445,0,0
"MFGE8_ITGAV","MFGE8_ITGAV",4.4386317387121,1.41931980173791e-06,16.5195009244772,-1333.13511569745,0.326000000000001,1.63825556740235,4.75491182392782,1.28600573282862,0.999999680234939,-1674.77770982804,683.285188261171,257,0,0
"FGB_ITGAV","FGB_ITGAV",5.08687929513439,5.08687929513439e-08,17.0107262711783,-1394.11359499957,0.281999999999996,2.03148887300492,5.2545408961445,1.11022567950507,0.99999999,-1712.84512800427,637.463066009385,323,0,0
"FBN1_ITGAV","FBN1_ITGAV",5.48277714538266,0.00921563547513709,13.717750019749,-1356.8824577737,0.366999999999997,2.01569553004613,5.84601514863289,1.16165018028003,0.998321986964867,-1753.48549221623,793.206068885051,105,0,0
"AZGP1_ITGAV","AZGP1_ITGAV",4.91069768636448,4.91069768636448e-08,16.6527723698543,-1374.12960993302,0.295999999999999,1.85100418036455,5.2057450820659,1.19719308538339,0.99999999,-1709.2904756633,670.321731460564,278,0,0
"ADAM9_ITGAV","ADAM9_ITGAV",6.03107756483309,6.03107756483309e-08,16.2801315081121,-1445.40833518478,0.207000000000001,2.0956363468774,6.04281397856297,1.17187566181571,0.99999999,-1766.10022542332,641.383780477076,317,0,0
"VEGFA_ITGAV","VEGFA_ITGAV",5.47356202940986,5.47356202940986e-08,14.7807442747986,-1377.97688714097,0.197000000000003,2.10820483490995,5.41140104124219,1.10974249604741,0.99999999,-1724.0523940594,692.151013836858,237,0,0
"ADAM15_ITGAV","ADAM15_ITGAV",6.03425200901593,6.03425200901593e-08,15.0790623818148,-1421.49993312218,0.271000000000001,2.00355818734689,5.69126152932422,1.22605446174205,0.99999999,-1743.26390058007,643.527934915788,315,0,0
"COL1A2_ITGAV","COL1A2_ITGAV",4.77129540152146,1.34842582229846e-07,19.9223553638015,-1416.9938979112,0.220999999999997,1.79950269946873,4.84975864365391,1.21385175421139,0.999999971738791,-1682.30275988627,530.61772395013,416,0,0
"COL4A1_ITGAV","COL4A1_ITGAV",5.80045377962207,5.80045377962207e-08,13.8983187375172,-1380.26469864007,0.177,2.00982057689802,5.42418323605084,1.19832245348943,0.99999999,-1724.95128762277,689.37317796539,244,0,0
"FN1_ITGAV","FN1_ITGAV",4.47717328046942,3.07190178306061e-07,19.0720233495127,-1379.9601080392,0.835000000000001,1.63996837345638,4.4692003273762,1.29022804830303,0.999999931387476,-1651.16765150381,542.415086929214,410,0,0
"SAA1_SCARB1","SAA1_SCARB1",7.20987859008897,7.20987859008896e-08,12.7265011249685,-1434.30291677483,0.225999999999999,2.55717957051393,6.41304264423753,1.05003252003842,0.99999999,-1788.7560230843,708.906212618953,213,0,0
"PDGFB_PDGFRB","PDGFB_PDGFRB",6.15066018262654,1.59394898906669e-07,16.0844998584494,-1449.11962728434,0.299999999999999,3.01697500223657,6.25126801799849,0.822032815578986,0.999999974084913,-1779.02166215575,659.804069742812,290,0,0
"MFGE8_PDGFRB","MFGE8_PDGFRB",6.24416314815774,0.0608338394233797,9.73131525008487,-1306.93816511554,0.353,2.36484760387384,6.07824470750848,1.05665682340806,0.990351487947861,-1768.32761273742,922.778895243769,31,0,0
"CALM1_KCNN4","CALM1_KCNN4",5.69783442540255,5.83168735495122e-08,14.2670376062663,-1381.92709367459,0.321000000000002,1.95520817067442,5.58977918881237,1.22084887956577,0.999999989765081,-1736.40889212229,708.963596895405,212,0,0
"PSEN1_NOTCH3","PSEN1_NOTCH3",5.53083121227328,0.055327907078671,23.8796048529071,-1532.25426589986,0.315,4.2887153937292,5.30603882407375,0.54836278801935,0.99009553686235,-1716.56099713023,368.613462460738,484,0,0
"THBS2_NOTCH3","THBS2_NOTCH3",7.26927609795206,0.390926365666955,11.8021344097851,-1488.08941018346,0.318999999999999,3.65295018250148,7.24138982217834,0.73807727297014,0.948966575293068,-1835.03964498137,693.900469595824,234,0,0
"SCGB3A1_NOTCH3","SCGB3A1_NOTCH3",7.25602642722313,7.25602642722313e-08,11.7693742466961,-1410.70163280042,0.212,4.37135319145915,6.64331981411275,0.61621679433604,0.99999999,-1802.19693374979,782.990601898741,115,0,0
"JAG2_NOTCH3","JAG2_NOTCH3",5.54088142713831,5.54088142713831e-08,19.5697902542704,-1468.75589959284,0.272000000000002,4.38622900929715,4.92423122178105,0.536658639575139,0.99999999,-1688.10890492494,438.706010664203,465,0,0
"APP_APLP2","APP_APLP2",8.36760922866767,8.36760922866767e-08,13.3537042156255,-1506.85689133318,0.217000000000002,3.38146222376476,7.72963110833408,0.855453002765514,0.99999999,-1859.89912803527,706.084473404192,215,0,0
"HLA-A_APLP2","HLA-A_APLP2",6.30195000287058,0.251243752585219,13.2221669760308,-1448.02934875338,0.271000000000001,2.94106643276374,6.54733294113146,0.853557223819345,0.961660869194345,-1796.65184893549,697.245000364218,230,0,0
"GPC3_CD81","GPC3_CD81",3.5496357989895,3.5496357989895e-08,8.96582862258311,-1045.03428296545,0.183,6.03898192332775,2.56739931770915,0.31198101611661,0.99999999,-1439.97323758702,789.877909243138,109,0,0
"CD99_CD81","CD99_CD81",5.97345017058684,0.17342471686063,4.3285707111095,-1084.8549073364,0.244,5.46322817342119,4.55889489798613,0.447366318122493,0.971786522414051,-1658.73840812249,1147.76700157218,3,0,0
